Kingdom,Phylum,Class,Order,Family,Species,Library?,Source,Source 2,Notes,Selected,TE_count,MCH_Parameters
Fungi,,Agaricomycetes,Agaricales,Hymenogastraceae,Hebeloma cylindrosporum,Complete,RM2+MCH,,B-GUT,RM2+MCH,2,"x=0, e=500, c=1"
Plantae,Angiosperma,Magnoliopsida,Apiales,Araliaceae,Hedera helix,Complete,RM2+MCH,,"ENSEMBL ""2025""",RM2+MCH,195,"x=10, e=500, c=1"
Plantae,Angiosperma,,Asterales ,Asteraceae,Helianthus annuus,Complete,RM2+MCH,,Uncurated Dfam,RM2+MCH,495,"x=10, e=500, c=1"
Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Heliconiini,Complete,Dfam,,Dfam no especie,Dfam,71,
Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Heliconius,Complete,Dfam,,Dfam no especie,Dfam,22,
Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Heliconius erato demophoon,Complete,Dfam,,Release 1.2,Dfam,22,
Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Heliconius melpomene melpomene,Complete,Dfam,,Release 1.2,Dfam,22,
Fungi,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,Helicostylum pulchrum,Complete,RM2+MCH,,B-GUT,RM2+MCH,9,"x=0, e=500, c=1"
Animalia,Nematoda,Chromadorea,Rhabditida,Heligmosomidae,Heligmosomoides bakeri,Complete,Dfam,,Curated Dfam,Dfam,681,
Animalia,Nematoda,Chromadorea,Rhabditida,Heligmosomidae,Heligmosomoides polygyrus polygyrus,Complete,Dfam,,Release 1.2,Dfam,648,
Fungi,Basidiomycota,Agaricomycetes,Gloeophyllales,Gloeophyllaceae,Heliocybe sulcata,Complete,RM2+MCH,,B-GUT,RM2+MCH,3,"x=0, e=500, c=1"
