Kingdom,Phylum,Class,Order,Family,Species,Library?,Source,Source 2,Notes,Selected,TE_count,MCH_Parameters
Fungi,Basidiomycota,Agaricomycetes,Polyporales,Podoscyphaceae,Abortiporus biennis,Complete,RM2+MCH,,B-GUT,RM2+MCH,1,"x=0, e=500, c=1"
Fungi,Mucoromycota,Mucoromycetes,Mucorales,Cunninghamellaceae,Absidia caerulea,Complete,RM2+MCH,,B-GUT,RM2+MCH,10,"x=0, e=500, c=1"
Fungi,Mucoromycota,Mucoromycetes,Mucorales,Cunninghamellaceae,Absidia glauca,Complete,RM2+MCH,,B-GUT,RM2+MCH,1,"x=0, e=500, c=1"
Fungi,Mucoromycota,Mucoromycetes,Mucorales,Cunninghamellaceae,Absidia repens,Complete,RM2+MCH,,B-GUT,RM2+MCH,6,"x=0, e=500, c=1"
Animalia,Echinodermata,Asteroidea,Valvatida,Acanthasteridae,Acanthaster planci,complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,71,"x=10, e=500, c=1"
Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Acanthoscelides obtectus,complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,595,"x=10, e=500, c=1"
Fungi,Ascomycota,Leotiomycetes,Helotiales,Mollisiaceae,Acephala macrosclerotiorum,Complete,RM2+MCH,,B-GUT,RM2+MCH,3,"x=0, e=500, c=1"
Plantae,Angiosperma,Magnoliopsida,Sapindales,Sapindaceae,Acer negundo,Complete,RM2+MCH,,"ENSEMBL ""2025""",RM2+MCH,235,"x=10, e=500, c=1"
Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Achaetomium macrosporum,Complete,RM2+MCH,,B-GUT,RM2+MCH,1,"x=0, e=500, c=1"
Animalia,Arthropoda,Insecta,Neoptera,Drepanidae,Achlya flavicornis,complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,413,"x=10, e=500, c=1"
Fungi,Ascomycota,Sordariomycetes,Amplistromataceae,,Acidothrix acidophila,Complete,RM2+MCH,,B-GUT,RM2+MCH,1,"x=0, e=500, c=1"
Animalia,Chordata,Mammalia,Carnivora,Felidae,Acinonyx jubatus,Complete,Dfam,,Curated Dfam,Dfam,18,
Animalia,Chordata,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser ruthenus,Complete,RM2+MCH,,Uncurated Dfam,RM2+MCH,151,"x=10, e=500, c=1"
Animalia,Chordata,Mammalia,Rodentia,Muridae,Acomys cahirinus,Complete,Dfam,,Curated Dfam,Dfam,39,
Animalia,Chordata,Aves,Passeriformes,Sturnidae,Acridotheres javanicus,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,48,"x=10, e=500, c=1"
Animalia,Chordata,Aves,Passeriformes,Sturnidae,Acridotheres tristis,complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,109,"x=10, e=500, c=1"
Fungi,Ascomycota,Dothideomycetes,Pleosporales,Acrocalymmaceae,Acrocalymma vagum,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,41,"x=10, e=500, c=1"
Animalia,Arthropoda,Insecta,Diptera,Acroceridae,Acrocera orbiculus,complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,135,"x=10, e=500, c=1"
Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Acromyrmex echinatior,complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,154,"x=10, e=500, c=1"
Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora acuminata,Complete,Dfam,,Curated Dfam,Dfam,1,
Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora millepora,Complete,Dfam,,Curated Dfam,Dfam,3,
Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora nasuta,Complete,Dfam,,Curated Dfam,Dfam,1,
Animalia,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Acrossocheilus wenchowensis,complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,595,"x=10, e=500, c=1"
Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Actinia tenebrosa,complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,34,"x=10, e=500, c=1"
Plantae,Angiosperma,Magnoliopsida,Ericales,Actinidiaceae,Actinidia chinensis,Complete,RM2+MCH,,Uncurated Dfam,RM2+MCH,109,"x=10, e=500, c=1"
Plantae,Angiosperma,Magnoliopsida,Ericales,Actinidiaceae,Actinidia deliciosa,Complete,RM2+MCH,,"ENSEMBL ""2025""",RM2+MCH,274,"x=10, e=500, c=1"
Plantae,Angiosperma,Magnoliopsida,Ericales,Actinidiaceae,Actinidia eriantha,Complete,RM2+MCH,,"ENSEMBL ""2025""",RM2+MCH,260,"x=10, e=500, c=1"
Fungi,Mucoromycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Actinomortierella ambigua,Complete,RM2+MCH,,B-GUT,RM2+MCH,14,"x=0, e=500, c=1"
Fungi,Mucoromycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Actinomortierella capitata,Complete,RM2+MCH,,B-GUT,RM2+MCH,12,"x=0, e=500, c=1"
Fungi,Mucoromycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Actinomortierella wolfii,Complete,RM2+MCH,,B-GUT,RM2+MCH,5,"x=0, e=500, c=1"
Animalia,Rotifera,Eurotatoria,Adinetida,Adinetidae,Adineta ricciae,complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,20,"x=10, e=500, c=1"
Plantae,Angiosperma,Magnoliopsida,Poales,Poaceae,Aegilops bicornis,Complete,RM2+MCH,,"ENSEMBL ""2025""",RM2+MCH,292,"x=0, e=500, c=1"
Plantae,Angiosperma,Magnoliopsida,Poales,Poaceae,Aegilops longissima,Complete,RM2+MCH,,"ENSEMBL ""2025""",RM2+MCH,281,"x=0, e=500, c=1"
Plantae,Angiosperma,Magnoliopsida,Poales,Poaceae,Aegilops searsii,Complete,RM2+MCH,,"ENSEMBL ""2025""",RM2+MCH,309,"x=0, e=500, c=1"
Plantae,Angiosperma,Magnoliopsida,Poales,Poaceae,Aegilops speltoides,Complete,RM2+MCH,,"ENSEMBL ""2025""",RM2+MCH,248,"x=0, e=500, c=1"
Plantae,Angiosperma,Magnoliopsida,Poales,Poaceae,Aegilops tauschii,Complete,RM2+MCH,,Uncurated Dfam,RM2+MCH,171,"x=10, e=500, c=1"
Animalia,Chordata,Aves,Passeriformes,Aegithalidae,Aegithalos caudatus,complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,62,"x=10, e=500, c=1"
Animalia,Chordata,Aves,Caprimulgiformes,Aegothelidae,Aegotheles bennettii,complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,62,"x=10, e=500, c=1"
Animalia,Arthropoda,Insecta,Coleoptera,Nitidulidae,Aethina tumida,complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,35,"x=10, e=500, c=1"
Animalia,Chordata,Mammalia,No trobat,,Afrotheria,Complete,Dfam,,Dfam no especie,Dfam,46,
Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Agaricus bisporus,Complete,RM2+MCH,,B-GUT,RM2+MCH,12,"x=0, e=500, c=1"
Animalia,Chordata,Aves,Passeriformes,Icteridae,Agelaius phoeniceus,complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,165,"x=10, e=500, c=1"
Animalia,Porifera,Demospongiae,Agelasida,Agelasidae,Agelas oroides,complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,100,"x=10, e=500, c=1"
Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Agonum fuliginosum,complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,218,"x=10, e=500, c=1"
Animalia,Arthropoda,Insecta,Coleoptera,Buprestidae,Agrilus cyanescens,complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,131,"x=10, e=500, c=1"
Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tubariaceae,Agrocybe aegerita,Complete,RM2+MCH,,B-GUT,RM2+MCH,1,"x=0, e=500, c=1"
Fungi,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Agrocybe pediades,Complete,RM2+MCH,,B-GUT,RM2+MCH,4,"x=0, e=500, c=1"
Fungi,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Agrocybe praecox,Complete,RM2+MCH,,B-GUT,RM2+MCH,8,"x=0, e=500, c=1"
Animalia,Arthropoda,Insecta,Trichoptera,Phryganeidae,Agrypnia vestita,complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,283,"x=10, e=500, c=1"
Animalia,Chordata,Lepidosauria,Squamata,Colubridae,Ahaetulla prasina,complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,313,"x=10, e=500, c=1"
Plantae,Angiosperma,Magnoliopsida,Sapindales,Simaroubaceae,Ailanthus altissimus,Complete,RM2+MCH,,"ENSEMBL ""2025""",RM2+MCH,216,"x=10, e=500, c=1"
Animalia,Chordata,Mammalia,Carnivora,Ursidae,Ailuropoda melanoleuca,Complete,Dfam,,Curated Dfam,Dfam,23,
Animalia,Chordata,Mammalia,Carnivora,Ailuridae,Ailurus fulgens,Complete,Dfam,,Curated Dfam,Dfam,18,
Fungi,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,Akanthomyces muscarius,Complete,RM2+MCH,,B-GUT,RM2+MCH,4,"x=0, e=500, c=1"
Animalia,Chordata,Aves,Passeriformes,Alaudidae,Alauda arvensis,complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,67,"x=10, e=500, c=1"
Fungi,Ascomycota,Sordariomycetes,Hypocreales,Ophiocordycipitaceae,Albophoma yamanashiensis,Complete,RM2+MCH,,B-GUT,RM2+MCH,2,"x=0, e=500, c=1"
Fungi,Oomycota,,Albuginales,Albuginaceae,Albugo candida,Complete,RM2+MCH,,B-GUT,RM2+MCH,2,"x=0, e=500, c=1"
Fungi,Oomycota,,Albuginales,Albuginaceae,Albugo laibachii,Complete,RM2+MCH,,B-GUT,RM2+MCH,26,"x=0, e=500, c=1"
Animalia,Chordata,Actinopteri,Albuliformes,Albulidae,Albula goreensis,Complete,RM2+MCH,,Uncurated Dfam,RM2+MCH,118,"x=10, e=500, c=1"
Animalia,Chordata,Aves,Charadriiformes,Alcidae,Alca torda,complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,182,"x=10, e=500, c=1"
Animalia,Chordata,Testudines,Testudines,Testudinidae,Aldabrachelys gigantea,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,687,"x=10, e=500, c=1"
Animalia,Chordata,Actinopteri,Notacanthiformes,Halosauridae,Aldrovandia affinis,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,434,"x=10, e=500, c=1"
Animalia,Chordata,Aves,Passeriformes,Pachycephalidae,Aleadryas rufinucha,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,60,"x=10, e=500, c=1"
Animalia,Chordata,Aves,Galliformes,Phasianidae,Alectoris rufa,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,145,"x=10, e=500, c=1"
Fungi,Ascomycota,Dothideomycetes,Jahnulales,Aliquandostipitaceae,Aliquandostipite khaoyaiensis,Complete,RM2+MCH,,B-GUT,RM2+MCH,6,"x=0, e=500, c=1"
Animalia,Arthropoda,Collembola,Symphypleona,Sminthuridae,Allacma fusca,complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,168,"x=10, e=500, c=1"
Plantae,Angiosperma,Magnoliopsida,Brassicales,Brassicaceae,Alliaria petiolata,Complete,RM2+MCH,,"ENSEMBL ""2025""",RM2+MCH,470,"x=10, e=500, c=1"
Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Alligator mississippiensis,Complete,RM2+MCH,,Uncurated Dfam,RM2+MCH,495,"x=10, e=500, c=1"
Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Alligator sinensis,Complete,RM2+MCH,,Uncurated Dfam,RM2+MCH,335,"x=10, e=500, c=1"
Fungi,Blastocladiomycota,Blastocladiomycetes,Blastocladiales,Blastocladiaceae,Allomyces macrogynus,Complete,RM2+MCH,,B-GUT,RM2+MCH,14,"x=0, e=500, c=1"
Animalia,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,Alloplasta piceator,complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,101,"x=10, e=500, c=1"
Plantae,Angiosperma,Magnoliopsida,Poales,Poaceae,Alopecurus myosuroides,Complete,RM2+MCH,,"ENSEMBL ""2025""",RM2+MCH,113,"x=0, e=500, c=1"
Animalia,Chordata,Actinopteri,Clupeiformes,Clupeidae,Alosa alosa,complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,235,"x=10, e=500, c=1"
Animalia,Chordata,Actinopteri,Clupeiformes,Clupeidae,Alosa sapidissima,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,376,"x=10, e=500, c=1"
Animalia,Chordata,Mammalia,Primates,Atelidae,Alouatta palliata,Complete,Dfam,,Curated Dfam,Dfam,8,
Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria alternata,Complete,RM2+MCH,,B-GUT,RM2+MCH,3,"x=0, e=500, c=1"
Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria arborescens,Complete,RM2+MCH,,B-GUT,RM2+MCH,1,"x=0, e=500, c=1"
Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria atra,Complete,RM2+MCH,,B-GUT,RM2+MCH,9,"x=0, e=500, c=1"
Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria brassicicola,Complete,RM2+MCH,,B-GUT,RM2+MCH,6,"x=0, e=500, c=1"
Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria burnsii,Complete,RM2+MCH,,B-GUT,RM2+MCH,2,"x=0, e=500, c=1"
Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria carthami,Complete,RM2+MCH,,B-GUT,RM2+MCH,1,"x=0, e=500, c=1"
Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria citriarbusti,Complete,RM2+MCH,,B-GUT,RM2+MCH,2,"x=0, e=500, c=1"
Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria conjuncta,Complete,RM2+MCH,,B-GUT,RM2+MCH,7,"x=0, e=500, c=1"
Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria ethzedia,Complete,RM2+MCH,,B-GUT,RM2+MCH,6,"x=0, e=500, c=1"
Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria gaisen,Complete,RM2+MCH,,B-GUT,RM2+MCH,1,"x=0, e=500, c=1"
Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria hordeiaustralica,Complete,RM2+MCH,,B-GUT,RM2+MCH,8,"x=0, e=500, c=1"
Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria incomplexa,Complete,RM2+MCH,,B-GUT,RM2+MCH,1,"x=0, e=500, c=1"
Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria infectoria,Complete,RM2+MCH,,B-GUT,RM2+MCH,7,"x=0, e=500, c=1"
Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria limoniasperae,Complete,RM2+MCH,,B-GUT,RM2+MCH,3,"x=0, e=500, c=1"
Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria longipes,Complete,RM2+MCH,,B-GUT,RM2+MCH,4,"x=0, e=500, c=1"
Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria metachromatica,Complete,RM2+MCH,,B-GUT,RM2+MCH,4,"x=0, e=500, c=1"
Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria postmessia,Complete,RM2+MCH,,B-GUT,RM2+MCH,1,"x=0, e=500, c=1"
Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria rosae,Complete,RM2+MCH,,B-GUT,RM2+MCH,2,"x=0, e=500, c=1"
Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria tenuissima,Complete,RM2+MCH,,B-GUT,RM2+MCH,1,"x=0, e=500, c=1"
Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria triticimaculans,Complete,RM2+MCH,,B-GUT,RM2+MCH,2,"x=0, e=500, c=1"
Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria ventricosa,Complete,RM2+MCH,,B-GUT,RM2+MCH,7,"x=0, e=500, c=1"
Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria viburni,Complete,RM2+MCH,,B-GUT,RM2+MCH,6,"x=0, e=500, c=1"
Animalia,Mollusca, Gastropoda,No ordre NCBI Caenogastropoda incertae sedis,Provannidae,Alviniconcha marisindica,complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,131,"x=10, e=500, c=1"
Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita muscaria,Complete,RM2+MCH,,B-GUT,RM2+MCH,8,"x=0, e=500, c=1"
Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita rubescens,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,45,"x=10, e=500, c=1"
Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita thiersii,Complete,RM2+MCH,,B-GUT,RM2+MCH,4,"x=0, e=500, c=1"
Plantae,Angiosperma,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthus cruentus,Complete,RM2+MCH,,"ENSEMBL ""2025""",RM2+MCH,270,"x=10, e=500, c=1"
Plantae,Angiosperma,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthus palmeri,Complete,RM2+MCH,,"ENSEMBL ""2025""",RM2+MCH,180,"x=10, e=500, c=1"
Fungi,Ascomycota,Eurotiomycetes,Onygenales,Onygenaceae,Amauroascus mutatus,Complete,RM2+MCH,,B-GUT,RM2+MCH,1,"x=0, e=500, c=1"
Animalia,Chordata,Aves,Passeriformes,Ptilonorhynchidae,Amblyornis subalaris,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,122,"x=10, e=500, c=1"
Animalia,Chordata,Chondrichthyes,Rajiformes,Rajidae,Amblyraja radiata,Complete,RM2+MCH,,Uncurated Dfam,RM2+MCH,412,"x=10, e=500, c=1"
Plantae,Angiosperma,,Amborellales,Amborellaceae,Amborella trichopoda,Complete,RM2+MCH,Repbase,Uncurated Dfam,RM2+MCH,432,"x=10, e=500, c=1"
Animalia,Chordata,Aves,Passeriformes,Passerellidae,Ammodramus caudacutus,complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,129,"x=10, e=500, c=1"
Animalia,Chordata,Actinopteri,Uranoscopiformes,Ammodytidae,Ammodytes dubius,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,290,"x=10, e=500, c=1"
Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Ammotragus lervia,Complete,Dfam,,Curated Dfam,Dfam,23,
Animalia,Chordata,,,,Amniota,Complete,Dfam,,Dfam no especie,Dfam,58,
Plantae,Angiosperma,Magnoliopsida,Alismatales,Araceae,Amorphophallus konjac,Complete,RM2+MCH,,"ENSEMBL ""2025""",RM2+MCH,53,"x=0, e=500, c=1"
Plantae,Angiosperma,Magnoliopsida,Alismatales,Araceae,Amorphophallus titanum,Complete,RM2+MCH,,"ENSEMBL ""2025""",RM2+MCH,41,"x=10, e=500, c=1"
Fungi,Ascomycota,Leotiomycetes,Helotiales,Amorphothecaceae,Amorphotheca resinae,Complete,RM2+MCH,,B-GUT,RM2+MCH,1,"x=0, e=500, c=1"
Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Ampelomyces quisqualis,Complete,RM2+MCH,,B-GUT,RM2+MCH,7,"x=0, e=500, c=1"
Animalia,Arthropoda,Thecostraca,Balanomorpha,Balanidae,Amphibalanus amphitrite,complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,236,"x=10, e=500, c=1"
Animalia,Annelida,Polychaeta,Phyllodocida,Hesionidae,Amphiduros pacificus,complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,152,"x=10, e=500, c=1"
Animalia,Mollusca,Gastropoda,No ordre NCBI,Lymnaeidae,Ampullaceana balthica,complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,211,"x=10, e=500, c=1"
Fungi,Ascomycota,Leotiomycetes,Helotiales,,Amylocarpus encephaloides,Complete,RM2+MCH,,B-GUT,RM2+MCH,5,"x=0, e=500, c=1"
Fungi,Basidiomycota,Agaricomycetes,Amylocorticiales,Amylocorticiaceae,Amylocorticium subincarnatum,Complete,RM2+MCH,,B-GUT,RM2+MCH,7,"x=0, e=500, c=1"
Fungi,Basidiomycota,Agaricomycetes,Polyporales,Postiaceae,Amylocystis lapponica,Complete,RM2+MCH,,B-GUT,RM2+MCH,12,"x=0, e=500, c=1"
Fungi,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,Amylomyces rouxii,Complete,RM2+MCH,,B-GUT,RM2+MCH,72,"x=0, e=500, c=1"
Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Amylostereum areolatum,Complete,RM2+MCH,Repbase,"ENSEMBL ""2023""",RM2+MCH,27,"x=10, e=500, c=1"
Animalia,Chordata,Actinopteri,Cypriniformes,Xenocyprididae,Anabarilius grahami,complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,522,"x=10, e=500, c=1"
Animalia,Chordata,Actinopteri,Anabantiformes,Anabantidae,Anabas testudineus,Complete,RM2+MCH,,Uncurated Dfam,RM2+MCH,86,"x=10, e=500, c=1"
Animalia,Chordata,Actinopteri,Cyprinodontiformes,Anablepidae,Anableps anableps,complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,181,"x=10, e=500, c=1"
Plantae,Angiosperma,Magnoliopsida,Sapindales,Anacardiaceae,Anacardium occidentale,Complete,RM2+MCH,,"ENSEMBL ""2025""",RM2+MCH,149,"x=10, e=500, c=1"
Animalia,Mollusca,Bivalvia,Arcoida,Arcidae,Anadara broughtonii,Complete,Dfam,,Curated Dfam,Dfam,25,
Animalia,Mollusca,Bivalvia,Arcoida,Arcidae,Anadara kagoshimensis,Complete,Dfam,,Curated Dfam,Dfam,58,
Fungi,Chytridiomycota,Neocallimastigomycetes,Neocallimastigales,Neocallimastigaceae,Anaeromyces robustus,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,26,"x=10, e=500, c=1"
Animalia,Chordata,Actinopteri,Perciformes,Anarhichadidae,Anarrhichthys ocellatus,Complete,RM2+MCH,,Uncurated Dfam,RM2+MCH,53,"x=10, e=500, c=1"
Animalia,Arthropoda,Insecta,Lepidoptera,Gelechiidae,Anarsia innoxiella,complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,144,"x=10, e=500, c=1"
Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas platyrhynchos,complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,88,"x=10, e=500, c=1"
Animalia,Arthropoda,Insecta,Coleoptera,Scraptiidae,Anaspis maculata,complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,446,"x=10, e=500, c=1"
Animalia,Arthropoda,Insecta,Diptera,Tephritidae,Anastrepha obliqua,complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,985,"x=10, e=500, c=1"
Animalia,Arthropoda,Insecta,Hymenoptera,Vespidae,Ancistrocerus nigricornis,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,140,"x=10, e=500, c=1"
Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,Andrena dorsata,complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,94,"x=10, e=500, c=1"
Animalia,Arthropoda,Insecta,Neoptera,Andrenidae,Andrena haemorrhoa,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,132,"x=10, e=500, c=1"
Plantae,Angiosperma,Magnoliopsida,Lamiales,Acanthaceae,Andrographis paniculata,Complete,RM2+MCH,,"ENSEMBL ""2025""",RM2+MCH,203,"x=10, e=500, c=1"
Animalia,Nematoda,Chromadorea,Rhabditida,Metastrongylidae,Angiostrongylus vasorum,complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,46,"x=10, e=500, c=1"
Plantae,Angiosperma,Magnoliopsida,Myrtales,Myrtaceae,Angophora floribunda,Complete,RM2+MCH,,"ENSEMBL ""2025""",RM2+MCH,251,"x=10, e=500, c=1"
Animalia,Chordata,Actinopteri,Anguilliformes,Anguillidae,Anguilla anguilla,Complete,RM2+MCH,,Uncurated Dfam,RM2+MCH,399,"x=10, e=500, c=1"
Animalia,Chordata,Aves,Suliformes,Anhingidae,Anhinga anhinga,complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,59,"x=10, e=500, c=1"
Plantae,Angiosperma,Magnoliopsida,Solanales,Solanaceae,Anisodus acutangulus,Complete,RM2+MCH,,"ENSEMBL ""2025""",RM2+MCH,406,"x=10, e=500, c=1"
Animalia,Mollusca,Gastropoda,No ordre NCBI,Planorbidae,Anisus vortex,complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,274,"x=10, e=500, c=1"
Animalia,Chordata,Lepidosauria,Squamata,Anniellidae,Anniella stebbinsi,complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,303,"x=10, e=500, c=1"
Fungi,Ascomycota,Sordariomycetes,Xylariales,Hypoxylaceae,Annulohypoxylon maeteangense,Complete,RM2+MCH,,B-GUT,RM2+MCH,1,"x=0, e=500, c=1"
Animalia,Chordata,Lepidosauria,Squamata,Dactyloidae,Anolis carolinensis,complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,658,"x=10, e=500, c=1"
Fungi,Basidiomycota,Agaricomycetes,Amylocorticiales,Amylocorticiaceae,Anomoloma albolutescens,Complete,RM2+MCH,,B-GUT,RM2+MCH,8,"x=0, e=500, c=1"
Fungi,Basidiomycota,Agaricomycetes,Amylocorticiales,Amylocorticiaceae,Anomoloma myceliosum,Complete,RM2+MCH,,B-GUT,RM2+MCH,9,"x=0, e=500, c=1"
Fungi,Basidiomycota,Agaricomycetes,Amylocorticiales,Amylocorticiaceae,Anomoporia bombycina,Complete,RM2+MCH,,B-GUT,RM2+MCH,16,"x=0, e=500, c=1"
Fungi,Basidiomycota,Agaricomycetes,Amylocorticiales,Amylocorticiaceae,Anomoporia kamtschatica,Complete,RM2+MCH,,B-GUT,RM2+MCH,2,"x=0, e=500, c=1"
Animalia,Arthropoda,Insecta,Diptera,Culicidae,Anopheles coluzzii,Complete,Dfam,,Curated Dfam,Dfam,223,
Animalia,Arthropoda,Insecta,Hymenoptera,Pompilidae,Anoplius nigerrimus,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,127,"x=10, e=500, c=1"
Animalia,Chordata,Actinopteri,Perciformes,Anoplopomatidae,Anoplopoma fimbria,complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,117,"x=10, e=500, c=1"
