Kingdom,Phylum,Class,Order,Family,Species,Library?,Source,Source 2,Notes,Selected,TE_count
Animalia,Chordata,Aves,Passeriformes,Corcoracidae,Struthidea cinerea,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,66
Animalia,Chordata,Aves,Struthioniformes,Struthionidae,Struthio camelus australis,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,13
Animalia,Chordata,Ascidiacea,Stolidobranchia,Styelidae,Styela clava,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,124
Animalia,Arthropoda,Insecta,Diptera,Heleomyzidae,Suillia variegata,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,283
Animalia,Chordata,Aves,Suliformes,Sulidae,Sula dactylatra,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,70
Animalia,Chordata,Mammalia,Carnivora,Herpestidae,Suricata suricatta,Complete,Dfam,,Curated Dfam,Dfam,20
Animalia,Arthropoda,Insecta,Neoptera,Eurytomidae,Sycophila sp sp 5,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,134
Animalia,Chordata,Actinopteri,Perciformes,Synanceiidae,Synanceia verrucosa,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,153
Animalia,Chordata,Mammalia,Chiroptera,Molossidae,Tadarida brasiliensis,Complete,Dfam,,Curated Dfam,Dfam,49
Animalia,Chordata,Actinopteri,Tetraodontiformes,Tetraodontidae,Takifugu flavidus,Complete,RM2+MCH,,Uncurated Dfam,RM2+MCH,118
Animalia,Chordata,Actinopteri,Tetraodontiformes,Tetraodontidae,Takifugu rubripes,Complete,Dfam,,Curated Dfam,Dfam,1
Animalia,Chordata,Mammalia,Eulipotyphla,Talpidae,Talpa occidentalis,Complete,RM2+MCH,,Uncurated Dfam,RM2+MCH,113
Animalia,Chordata,Mammalia,Pilosa,Myrmecophagidae,Tamandua tetradactyla,Complete,Dfam,,Curated Dfam,Dfam,17
Animalia,Chordata,Mammalia,Perissodactyla,Tapiridae,Tapirus indicus,Complete,Dfam,,Curated Dfam,Dfam,15
Animalia,Chordata,Mammalia,Perissodactyla,Tapiridae,Tapirus terrestris,Complete,Dfam,,Curated Dfam,Dfam,18
Animalia,Chordata,Aves,Musophagiformes,Musophagidae,Tauraco erythrolophus,Complete,RM2+MCH,,Uncurated Dfam,RM2+MCH,22
Animalia,Mollusca,Bivalvia,Arcoida,Arcidae,Tegillarca granosa,Complete,Dfam,,Curated Dfam,Dfam,41
Animalia,Arthropoda,Insecta,Hymenoptera,Scelionidae,Telenomus remus,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,14
Animalia,Chordata,Actinopteri,No trobat,No trobat,Teleostei,Complete,Dfam,,Dfam no especie,Dfam,3
Animalia,Annelida,Polychaeta,Terebellida,Terebellidae,Terebella lapidaria,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,274
